Period,Birth_Death,Region,Count
2008,Births,Wellington region,6972
2008,Births,Tasman region,558
2008,Births,Nelson region,627
2008,Births,Marlborough region,570
2008,Births,West Coast region,453
2008,Births,Canterbury region,7284
2008,Births,Otago region,2367
2008,Births,Southland region,1338
2008,Births,"Region not stated or
area outside region",63
2008,Births,New Zealand,64344
2008,Deaths,Northland region,1344
2008,Deaths,Auckland region,7404
2008,Deaths,Waikato region,2871
2008,Deaths,Bay of Plenty region,2241
2008,Deaths,Gisborne region,387
2008,Deaths,Hawke's Bay region,1200
2008,Deaths,Taranaki region,912
2008,Deaths,Manawatu-Wanganui region,1920
2008,Deaths,Wellington region,3015
2008,Deaths,Tasman region,297
2008,Deaths,Nelson region,411
2008,Deaths,Marlborough region,381
2008,Deaths,West Coast region,273
2008,Deaths,Canterbury region,4017
2008,Deaths,Otago region,1617
2008,Deaths,Southland region,786
2008,Deaths,"Region not stated or
area outside region",108
2008,Deaths,New Zealand,29190
2009,Births,Northland region,2199
2009,Births,Auckland region,22605
2009,Births,Waikato region,6147
2009,Births,Bay of Plenty region,3939
2009,Births,Gisborne region,729
2009,Births,Hawke's Bay region,2352
2009,Births,Taranaki region,1587
2009,Births,Manawatu-Wanganui region,3153
2009,Births,Wellington region,6792
2009,Births,Tasman region,498
2009,Births,Nelson region,603
2009,Births,Marlborough region,552
2009,Births,West Coast region,432
2009,Births,Canterbury region,7161
2009,Births,Otago region,2352
2009,Births,Southland region,1356
2009,Births,"Region not stated or
area outside region",90
2009,Births,New Zealand,62544
2009,Deaths,Northland region,1287
2009,Deaths,Auckland region,7386
2009,Deaths,Waikato region,2760
2009,Deaths,Bay of Plenty region,2226
2009,Deaths,Gisborne region,360
2009,Deaths,Hawke's Bay region,1251
2009,Deaths,Taranaki region,897
2009,Deaths,Manawatu-Wanganui region,1941
2009,Deaths,Wellington region,2955
2009,Deaths,Tasman region,300
2009,Deaths,Nelson region,360
2009,Deaths,Marlborough region,378
2009,Deaths,West Coast region,264
2009,Deaths,Canterbury region,4206
2009,Deaths,Otago region,1560
2009,Deaths,Southland region,765
2009,Deaths,"Region not stated or
area outside region",66
2009,Deaths,New Zealand,28962
2010,Births,Northland region,2397
2010,Births,Auckland region,23214
2010,Births,Waikato region,6324
2010,Births,Bay of Plenty region,3957
2010,Births,Gisborne region,783
2010,Births,Hawke's Bay region,2286
2010,Births,Taranaki region,1596
2010,Births,Manawatu-Wanganui region,3297
2010,Births,Wellington region,6771
2010,Births,Tasman region,543
2010,Births,Nelson region,603
2010,Births,Marlborough region,573
2010,Births,West Coast region,429
2010,Births,Canterbury region,7305
2010,Births,Otago region,2331
2010,Births,Southland region,1404
2010,Births,"Region not stated or
area outside region",81
2010,Births,New Zealand,63897
2010,Deaths,Northland region,1233
2010,Deaths,Auckland region,7227
2010,Deaths,Waikato region,2772
2010,Deaths,Bay of Plenty region,2139
2010,Deaths,Gisborne region,381
2010,Deaths,Hawke's Bay region,1206
2010,Deaths,Taranaki region,909
2010,Deaths,Manawatu-Wanganui region,1905
2010,Deaths,Wellington region,2916
2010,Deaths,Tasman region,309
2010,Deaths,Nelson region,372
2010,Deaths,Marlborough region,360
2010,Deaths,West Coast region,249
2010,Deaths,Canterbury region,4272
2010,Deaths,Otago region,1392
2010,Deaths,Southland region,744
2010,Deaths,"Region not stated or
area outside region",48
2010,Deaths,New Zealand,28437
2011,Births,Northland region,2199
2011,Births,Auckland region,22659
2011,Births,Waikato region,5916
2011,Births,Bay of Plenty region,3951
2011,Births,Gisborne region,738
2011,Births,Hawke's Bay region,2226
2011,Births,Taranaki region,1554
2011,Births,Manawatu-Wanganui region,3171
2011,Births,Wellington region,6528
2011,Births,Tasman region,501
2011,Births,Nelson region,600
2011,Births,Marlborough region,540
2011,Births,West Coast region,432
2011,Births,Canterbury region,6693
2011,Births,Otago region,2340
2011,Births,Southland region,1332
2011,Births,"Region not stated or
area outside region",24
2011,Births,New Zealand,61401
2011,Deaths,Northland region,1365
2011,Deaths,Auckland region,7692
2011,Deaths,Waikato region,2937
2011,Deaths,Bay of Plenty region,2202
2011,Deaths,Gisborne region,366
2011,Deaths,Hawke's Bay region,1269
2011,Deaths,Taranaki region,978
2011,Deaths,Manawatu-Wanganui region,1911
2011,Deaths,Wellington region,3123
2011,Deaths,Tasman region,348
2011,Deaths,Nelson region,375
2011,Deaths,Marlborough region,378
2011,Deaths,West Coast region,291
2011,Deaths,Canterbury region,4473
2011,Deaths,Otago region,1542
2011,Deaths,Southland region,807
2011,Deaths,"Region not stated or
area outside region",27
2011,Deaths,New Zealand,30081
2012,Births,Northland region,2310
2012,Births,Auckland region,22836
2012,Births,Waikato region,6051
2012,Births,Bay of Plenty region,3876
2012,Births,Gisborne region,708
2012,Births,Hawke's Bay region,2238
2012,Births,Taranaki region,1533
2012,Births,Manawatu-Wanganui region,3015
2012,Births,Wellington region,6435
2012,Births,Tasman region,477
2012,Births,Nelson region,546
2012,Births,Marlborough region,507
2012,Births,West Coast region,417
2012,Births,Canterbury region,6633
2012,Births,Otago region,2337
2012,Births,Southland region,1245
2012,Births,"Region not stated or
area outside region",18
2012,Births,New Zealand,61179
2012,Deaths,Northland region,1374
2012,Deaths,Auckland region,7665
2012,Deaths,Waikato region,2931
2012,Deaths,Bay of Plenty region,2211
2012,Deaths,Gisborne region,396
2012,Deaths,Hawke's Bay region,1326
2012,Deaths,Taranaki region,948
2012,Deaths,Manawatu-Wanganui region,1920
2012,Deaths,Wellington region,3123
2012,Deaths,Tasman region,342
2012,Deaths,Nelson region,417
2012,Deaths,Marlborough region,393
2012,Deaths,West Coast region,252
2012,Deaths,Canterbury region,4359
2012,Deaths,Otago region,1635
2012,Deaths,Southland region,783
2012,Deaths,"Region not stated or
area outside region",21
2012,Deaths,New Zealand,30099
2013,Births,Northland region,2124
2013,Births,Auckland region,21825
2013,Births,Waikato region,5745
2013,Births,Bay of Plenty region,3696
2013,Births,Gisborne region,699
2013,Births,Hawke's Bay region,2160
2013,Births,Taranaki region,1503
2013,Births,Manawatu-Wanganui region,2985
2013,Births,Wellington region,6057
2013,Births,Tasman region,486
2013,Births,Nelson region,555
2013,Births,Marlborough region,504
2013,Births,West Coast region,384
2013,Births,Canterbury region,6543
2013,Births,Otago region,2235
2013,Births,Southland region,1200
2013,Births,"Region not stated or
area outside region",12
2013,Births,New Zealand,58716
